1	5051	733.7271321
2	771	733.489011	
3	7276	690.9712509	
4	2947	681.3095238	
5	1557	679.5886317	
6	7718	672.1318447	
7	769	669.8418507	
8	933	652.7777778	
9	500	633.7307396	
10	9526	625.9728031	
11	2645	623.9933166	
12	8286	618.1746032	
13	3497	604.5670996	
14	5092	599.4537815	
15	1919	589.9644158	
16	6369	588.0836108	
17	9503	587.1029847	
18	7954	584.3686869	
19	2192	576.8686869	
20	5574	572.041847	
21	7383	571.7857143	
22	8165	569.4695071	
23	4604	568.0891331	
24	4488	563.7734488	
25	7970	562.6520829	
26	909	562.5	
27	8705	560.0923097	
28	5553	559.2857143	
29	7866	550.9983739	
30	1713	550.7905983	
31	1399	549.8048194	
32	368	547.4839717	
33	6689	547.0926963	
34	9130	545.4574592	
35	3172	543.8550086	
36	2696	543.8472897	
37	4446	543.5552207	
38	2407	542.5631313	
39	9497	521.0772308	
40	1168	483.792167	
41	2533	469.1310824	
42	7878	461.9866114	
43	4779	460.0418773	
44	5206	453.5003373	
45	6006	446.7640692	
46	5747	442.1962759	
47	9286	439.7294372	
48	9863	437.6874003	
49	406	432.1745199	
50	4718	432.082362	
51	4821	430.8333333	
52	8844	427.1008662	
53	6001	425.1731602	
54	6996	419.9582231	
55	2664	417.5490196	
56	1989	416.3293909	
57	4118	415.8452658	
58	4471	414.1925998	
59	7332	412.2222222	
60	8858	412.1199892	
61	7456	408.7301587	
62	2680	404.3686868	
63	9178	404.005439	
64	8699	402.5	
65	5078	401.5909091	
66	6771	398.4576023	
67	6918	397.1250971	
68	5405	395.4738562	
69	5527	393.4315943	
70	425	392.3611111	
71	9736	388.3964646	
72	685	388.0952381	
73	9125	387.4522976	
74	6003	387.1096692	
75	2072	386.6531358	
76	1607	386.0851648	
77	2496	378.9460784	
78	5097	378.5511824	
79	2542	378.5171261	
80	6777	374.0049098	
81	1212	373.175184	
82	6733	371.6339869	
83	4631	370.4656863	
84	1196	359.5039683	
85	4050	359.1474063	
86	8421	358.9239927	
87	2681	358.6111111	
88	8551	357.8968254	
89	5737	354.6932493	
90	1480	352.7413273	
91	4160	352.5490196	
92	767	350.116021	
93	2201	349.4582066	
94	4552	348.6676083	
95	8531	348.2777857	
96	75	348.0153308	
97	627	345.2777778	
98	5052	344.0909091	
99	7568	343.2509416	
100	5232	342.8205128	
101	4352	341.3528139	
102	9159	340.0595238	
103	8751	339.5833333	
104	165	339.5670996	
105	5817	338.4595959	
106	4931	338.4388501	
107	8462	337.4542124	
108	5451	335.5409357	
109	6566	332.8830761	
110	8887	332.0274429	
111	8101	331.025641	
112	916	327.6533434	
113	151	327.5917547	
114	9721	326.7909357	
115	230	326.5306915	
116	3721	325.952381	
117	8412	325.6829785	
118	1695	322.8210678	
119	1218	321.6666666	
120	417	321.5873015	
121	5869	320.9615385	
122	4033	320.3928275	
123	6064	319.3188625	
124	6160	317.7631579	
125	7203	316.9444444	
126	2880	316.851369	
127	2187	316.6847042	
128	5781	315.6746032	
129	3072	315.3180153	
130	6727	314.0699447	
131	6791	312.5997872	
132	6207	310.7546109	
133	3385	309.9242424	
134	2112	309.8160173	
135	3098	309.7115385	
136	4304	309.1520468	
137	4858	309.0317036	
138	9942	308.8585434	
139	86	307.5	
